agencyID,PlazaID
3,1
4,9
6,23
7,41
8,49
11,56
12,81
14,153
18,159
19,177
20,182
22,192
24,234
25,258
26,267
38,299
40,304
41,306
42,309
43,320
44,322
45,329
9,399
10,442
46,492
1,518
47,705
48,729
50,742
51,747
52,754
49,777
53,827
54,846
55,848
56,858
59,1137
61,1226
13,1924
64,2093
65,2623
66,2946
63,3856
67,5575
58,5694
68,7521
69,7560
70,7588
71,9474
79,10528
27,11615
81,11867
80,13469
62,13487
128,14012
111,14013
101,14014
112,14015
113,14016
114,14017
91,14018
115,14019
116,14020
34,14021
102,14022
96,14023
118,14024
103,14025
117,14026
119,14027
120,14028
126,14029
121,14030
83,14031
122,14032
84,14033
23,14034
104,14035
37,14036
85,14037
124,14038
125,14039
105,14040
86,14041
90,14042
87,14043
106,14044
127,14045
123,14046
39,14047
35,14048
88,14049
31,14050
21,14051
133,14052
131,14053
89,14054
60,14055
110,14056
130,14057
57,14058
132,14059
97,14060
82,14061
107,14062
32,14063
92,14064
2,14065
134,14066
33,14067
29,14068
28,14069
108,14070
135,14071
136,14072
30,14073
93,14074
94,14075
137,14076
129,14077
5,14078
95,14079
138,14080
109,14081
139,14082
140,16222
142,27482
151,36901
152,37104
144,49768
146,49773
148,49779
147,49823
153,53063
154,53083
